field,cn_name,range,definition,source_plan,compliance_note
content_growth,内容传播增速,0-100,公开内容量、互动量与跨圈层扩散的标准化变化,公开且授权的数据接口/人工样本,按城市和日期聚合，不保存用户身份
search_growth,搜索需求增速,0-100,城市、景点、美食等关键词的相对增长,企业脱敏搜索数据优先；报名期使用公开代理变量,只使用聚合趋势，不采集个人查询
event_trigger,事件触发强度,0-100,演出、赛事、节庆、影视等事件带来的启动信号,政府/场馆公开日历与权威新闻,保留来源与发布时间，防止未来信息泄漏
accessibility,客源可达性,0-100,核心客源地到目的地的时间、班次和换乘成本,高德路径规划、公开交通时刻,按路线聚合，不涉及个人轨迹
supply_capacity,供给承载力,0-100,住宿、景点、餐饮及服务设施承载水平,高德POI、文旅公开统计、平台授权库存,只用公开或授权数据
weather_fit,气象适配度,0-100,温度、降水、风力与主题玩法的匹配度,中国气象数据网/高德天气,保留观测时间与预报版本
novelty,内容新奇度,0-100,地方性、可讲述性和同质化程度的代理评分,POI标签、非遗/地方文化目录、文本特征,模型建议需人工复核
cross_region_spread,跨区域扩散,0-100,热度是否由本地圈层向多客源地扩散,聚合内容与搜索地域分布,地域粒度最低到城市
risk_pressure,拥挤与舆情风险,0-100,容量不足、价格波动、负面舆情和安全风险,公开预警、企业授权库存/价格,风险高时降级为观察而非直接投放
composite_score,综合潜力分,0-100,预测核心输出：多源信号加权后扣除风险,模型计算,必须同时输出不确定性与证据链
content_interaction_growth,社交互动增速,0-100,公开内容的点赞/评论/转发等互动量标准化增速（社交内容细分信号）,公开且授权的数据接口/人工样本,按城市和日期聚合，不保存用户身份；权重待 v2 评分版本校准后启用
young_traveler_share,年轻客群占比,0-100,内容互动与搜索中 25 岁以下及大学生客群的估计占比,公开且授权的数据接口/人工样本,聚合估计值，不含个体画像；权重待 v2 评分版本校准后启用
